ImageId,Label
1,2
2,0
3,9
4,4
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,9
14,0
15,4
16,0
17,8
18,1
19,9
20,0
21,9
22,1
23,1
24,7
25,7
26,4
27,3
28,7
29,7
30,7
31,7
32,4
33,4
34,2
35,6
36,2
37,9
38,1
39,1
40,6
41,9
42,9
43,4
44,4
45,6
46,6
47,3
48,2
49,6
50,1
51,6
52,3
53,8
54,3
55,7
56,6
57,1
58,2
59,6
60,5
61,4
62,1
63,4
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,6
72,7
73,2
74,3
75,2
76,6
77,6
78,9
79,2
80,3
81,3
82,9
83,1
84,0
85,4
86,2
87,4
88,8
89,6
90,7
91,2
92,0
93,6
94,6
95,1
96,1
97,3
98,7
99,7
100,7
101,0
102,7
103,1
104,0
105,4
106,8
107,0
108,6
109,0
110,3
111,2
112,0
113,4
114,4
115,1
116,0
117,1
118,1
119,2
120,3
121,3
122,7
123,2
124,3
125,6
126,3
127,3
128,1
129,1
130,4
131,6
132,4
133,6
134,0
135,0
136,0
137,3
138,1
139,2
140,0
141,6
142,3
143,1
144,3
145,7
146,3
147,7
148,7
149,3
150,1
151,4
152,0
153,6
154,6
155,3
156,3
157,7
158,7
159,7
160,0
161,3
162,0
163,4
164,6
165,1
166,3
167,7
168,6
169,6
170,0
171,3
172,7
173,4
174,6
175,1
176,1
177,7
178,1
179,1
180,2
181,4
182,3
183,6
184,6
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,6
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,1
203,0
204,7
205,4
206,0
207,1
208,6
209,6
210,3
211,0
212,9
213,3
214,6
215,7
216,6
217,1
218,6
219,2
220,4
221,2
222,3
223,1
224,2
225,2
226,6
227,4
228,6
229,1
230,0
231,0
232,6
233,9
234,1
235,2
236,3
237,2
238,8
239,3
240,6
241,3
242,6
243,2
244,0
245,4
246,0
247,9
248,6
249,3
250,6
251,9
252,0
253,1
254,3
255,3
256,4
257,5
258,1
259,4
260,3
261,3
262,3
263,3
264,3
265,7
266,0
267,6
268,0
269,6
270,1
271,6
272,0
273,6
274,3
275,6
276,6
277,1
278,6
279,8
280,4
281,0
282,9
283,2
284,0
285,6
286,0
287,7
288,1
289,9
290,9
291,5
292,4
293,7
294,4
295,7
296,6
297,3
298,0
299,6
300,3
301,6
302,9
303,3
304,3
305,6
306,9
307,7
308,1
309,4
310,0
311,3
312,0
313,1
314,0
315,0
316,3
317,7
318,4
319,1
320,1
321,4
322,1
323,1
324,9
325,3
326,4
327,6
328,1
329,6
330,1
331,6
332,3
333,1
334,3
335,0
336,4
337,0
338,6
339,6
340,3
341,6
342,0
343,1
344,6
345,4
346,0
347,6
348,7
349,6
350,0
351,6
352,7
353,7
354,2
355,7
356,3
357,7
358,2
359,2
360,9
361,6
362,6
363,3
364,6
365,4
366,6
367,3
368,3
369,1
370,2
371,4
372,0
373,9
374,9
375,7
376,6
377,4
378,6
379,3
380,9
381,6
382,1
383,0
384,4
385,3
386,6
387,3
388,1
389,6
390,7
391,1
392,7
393,7
394,4
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,6
408,3
409,3
410,6
411,0
412,0
413,4
414,1
415,1
416,8
417,1
418,1
419,3
420,6
421,6
422,6
423,6
424,5
425,6
426,1
427,4
428,7
429,7
430,7
431,4
432,6
433,7
434,1
435,6
436,1
437,3
438,7
439,4
440,0
441,2
442,4
443,7
444,4
445,4
446,0
447,4
448,0
449,3
450,9
451,1
452,7
453,6
454,9
455,6
456,3
457,1
458,3
459,1
460,6
461,3
462,7
463,6
464,5
465,4
466,1
467,7
468,7
469,7
470,1
471,1
472,4
473,4
474,6
475,6
476,0
477,1
478,3
479,1
480,6
481,4
482,3
483,1
484,2
485,4
486,9
487,4
488,3
489,3
490,7
491,7
492,4
493,3
494,4
495,2
496,7
497,6
498,2
499,3
500,0
501,6
502,0
503,7
504,2
505,1
506,3
507,3
508,3
509,0
510,6
511,7
512,6
513,1
514,1
515,6
516,3
517,1
518,9
519,6
520,3
521,4
522,9
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,4
533,3
534,6
535,8
536,5
537,6
538,6
539,7
540,3
541,6
542,2
543,3
544,2
545,0
546,3
547,0
548,9
549,0
550,1
551,1
552,3
553,0
554,6
555,6
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,1
564,1
565,3
566,6
567,1
568,1
569,1
570,9
571,3
572,0
573,9
574,0
575,0
576,4
577,1
578,6
579,4
580,4
581,0
582,1
583,0
584,6
585,4
586,1
587,7
588,3
589,3
590,6
591,3
592,7
593,4
594,4
595,3
596,6
597,6
598,6
599,0
600,0
601,0
602,1
603,7
604,1
605,6
606,2
607,6
608,4
609,6
610,4
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,9
621,3
622,3
623,9
624,9
625,3
626,3
627,7
628,0
629,6
630,1
631,6
632,1
633,2
634,6
635,1
636,4
637,7
638,7
639,3
640,3
641,0
642,4
643,9
644,6
645,0
646,0
647,4
648,4
649,1
650,3
651,9
652,7
653,0
654,0
655,1
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,6
666,0
667,1
668,3
669,7
670,6
671,6
672,9
673,4
674,6
675,6
676,7
677,7
678,1
679,6
680,0
681,6
682,4
683,3
684,9
685,1
686,7
687,9
688,6
689,4
690,9
691,2
692,6
693,0
694,1
695,9
696,4
697,3
698,9
699,4
700,6
701,4
702,0
703,5
704,0
705,6
706,0
707,9
708,4
709,6
710,0
711,3
712,6
713,1
714,5
715,1
716,4
717,3
718,0
719,9
720,3
721,9
722,0
723,1
724,0
725,1
726,6
727,6
728,4
729,7
730,7
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,6
739,1
740,8
741,4
742,6
743,3
744,1
745,3
746,7
747,6
748,7
749,6
750,6
751,4
752,9
753,4
754,1
755,1
756,4
757,0
758,1
759,1
760,8
761,7
762,0
763,4
764,0
765,4
766,0
767,7
768,0
769,1
770,2
771,6
772,6
773,0
774,1
775,4
776,3
777,4
778,5
779,3
780,1
781,1
782,6
783,7
784,2
785,6
786,4
787,6
788,9
789,3
790,6
791,3
792,0
793,4
794,0
795,4
796,3
797,1
798,6
799,9
800,7
801,1
802,1
803,2
804,6
805,1
806,4
807,9
808,6
809,4
810,1
811,5
812,1
813,2
814,3
815,4
816,4
817,0
818,7
819,7
820,6
821,3
822,0
823,4
824,0
825,1
826,1
827,3
828,4
829,4
830,2
831,1
832,0
833,0
834,6
835,3
836,9
837,6
838,1
839,3
840,3
841,1
842,9
843,0
844,3
845,4
846,6
847,7
848,3
849,1
850,0
851,9
852,4
853,4
854,7
855,2
856,3
857,1
858,4
859,6
860,3
861,0
862,4
863,1
864,4
865,6
866,3
867,6
868,7
869,3
870,6
871,0
872,1
873,9
874,3
875,3
876,7
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,2
886,7
887,1
888,7
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,6
897,9
898,1
899,1
900,1
901,7
902,3
903,5
904,7
905,9
906,7
907,7
908,2
909,3
910,7
911,3
912,0
913,4
914,7
915,1
916,6
917,4
918,6
919,1
920,3
921,4
922,1
923,6
924,7
925,4
926,7
927,4
928,6
929,6
930,3
931,6
932,3
933,1
934,9
935,1
936,0
937,7
938,7
939,3
940,6
941,6
942,0
943,6
944,1
945,6
946,9
947,3
948,2
949,9
950,3
951,6
952,7
953,4
954,2
955,3
956,2
957,3
958,3
959,0
960,2
961,7
962,1
963,4
964,0
965,0
966,0
967,1
968,3
969,7
970,6
971,3
972,1
973,3
974,6
975,7
976,0
977,3
978,0
979,9
980,4
981,0
982,4
983,7
984,9
985,7
986,7
987,0
988,0
989,3
990,3
991,1
992,9
993,0
994,6
995,3
996,3
997,6
998,3
999,2
1000,4
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,2
1009,2
1010,4
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,0
1018,3
1019,4
1020,8
1021,1
1022,4
1023,4
1024,6
1025,3
1026,6
1027,1
1028,7
1029,4
1030,1
1031,4
1032,1
1033,3
1034,6
1035,4
1036,1
1037,3
1038,5
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,6
1046,2
1047,3
1048,7
1049,2
1050,6
1051,3
1052,6
1053,3
1054,6
1055,9
1056,1
1057,1
1058,3
1059,0
1060,6
1061,0
1062,0
1063,6
1064,0
1065,9
1066,6
1067,4
1068,0
1069,0
1070,9
1071,0
1072,1
1073,7
1074,6
1075,7
1076,2
1077,6
1078,1
1079,2
1080,4
1081,0
1082,0
1083,2
1084,3
1085,7
1086,7
1087,6
1088,6
1089,6
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,0
1098,3
1099,5
1100,2
1101,4
1102,2
1103,7
1104,1
1105,3
1106,3
1107,0
1108,0
1109,4
1110,6
1111,7
1112,3
1113,0
1114,1
1115,0
1116,6
1117,3
1118,6
1119,1
1120,9
1121,6
1122,4
1123,4
1124,1
1125,6
1126,6
1127,5
1128,6
1129,1
1130,2
1131,0
1132,0
1133,0
1134,0
1135,3
1136,6
1137,3
1138,7
1139,7
1140,7
1141,3
1142,0
1143,2
1144,1
1145,2
1146,3
1147,9
1148,6
1149,0
1150,1
1151,6
1152,7
1153,6
1154,4
1155,7
1156,1
1157,8
1158,1
1159,5
1160,3
1161,9
1162,1
1163,7
1164,0
1165,6
1166,4
1167,1
1168,1
1169,4
1170,4
1171,3
1172,3
1173,9
1174,1
1175,1
1176,1
1177,3
1178,7
1179,3
1180,3
1181,3
1182,7
1183,4
1184,1
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,3
1194,3
1195,3
1196,1
1197,3
1198,2
1199,3
1200,4
1201,0
1202,1
1203,3
1204,0
1205,1
1206,7
1207,9
1208,6
1209,4
1210,6
1211,6
1212,2
1213,3
1214,4
1215,0
1216,6
1217,3
1218,7
